,price_per_sqft,city,county,state,streetAddress,bedrooms,bathrooms,price,livingAreaValue,lotSize_sqft,yearBuilt,zipcode,rentZestimate,zestimate,propertyTaxRate,neighborhoodRegion_name,agentName,agent_businessName,architecture_style,year_built,agency_compensation%
395,1562.0,Fremont,Alameda County,CA,43393 Mission Blvd,3.0,1.0,1799000,1152.0,7840.0,1912,94539,3195,1803100,0.81,Mission San Jose,Viva Bakshi,Intero Real Estate Services,Bungalow,1912,2.5
396,790.0,San Jose,Santa Clara County,CA,4351 Kingspark Dr,4.0,2.0,1249000,1581.0,5662.0,1971,95136,4034,1167800,0.77,Blossom Valley,Jim Hitcher,Coldwell Banker Realty,Contemporary,1971,2.50
397,945.0,San Francisco,San Francisco County,CA,438 Steiner St,3.0,2.0,1695000,1794.0,2885.0,1890,94117,,,0.67,Lower Haight,Kevin K. Ho,Vanguard Properties,"Contemporary,Modern/High Tech,Traditional,Victorian,Vintage",1890,2.5
398,1087.0,Fremont,Alameda County,CA,43847 N Moray St,7.0,5.0,3358899,3090.0,7405.0,1989,94539,5282,3347796,0.81,Cameron Hills,Linda Young,Top Mission Realty & Invest,Contemporary,1989,2.25
399,501.0,San Francisco,San Francisco County,CA,4392 Mission St #94,2.0,1.0,749000,1496.0,2522.0,1906,94112,,,0.67,,Victor E. Borelli,Compass,Edwardian,1906,2.500
400,911.0,San Francisco,San Francisco County,CA,442 14th St,3.0,2.0,1188000,1304.0,2624.0,1907,94103,,,0.67,Mission Dolores,Shelley D. Trew,Vanguard Properties,"Edwardian,Victorian",1907,2.5
401,1010.0,Fremont,Alameda County,CA,44283 Lupine Pl,3.0,2.0,1980000,1960.0,8102.0,1969,94539,4250,1949500,0.81,Weibel,Vikram Prashar,Dogpatch Real Estate Management,Traditional,1969,2
402,781.0,Fremont,Alameda County,CA,44306 Paiute Ct,5.0,4.0,3195000,4091.0,15659.0,1980,94539,8027,3102854,0.81,Weibel,Tina Broyles,eXp Realty of California Inc,Tudor,1980,
403,1154.0,San Francisco,San Francisco County,CA,4438 17th St,4.0,2.0,1950000,1690.0,2186.0,1900,94114,6229,2120800,0.67,Buena Vista,Ted Bartlett,Compass,,1900,2.5
404,1041.0,Fremont,Alameda County,CA,4439 Ashwood Cmn,4.0,3.0,1749000,1680.0,3484.0,1987,94538,3879,1465400,0.81,Grimmer,Sunmeet Anand,WDB Realty and Finance Inc.,"Craftsman,Traditional",1987,2.5
405,1195.0,San Francisco,San Francisco County,CA,445 Roosevelt Way,3.0,2.0,1799000,1505.0,2761.0,1953,94114,5899,1909500,0.67,Buena Vista,"Shao Ying ""Shirley"" Liang",Bay Real Estate Group,,1953,2.5
